"Provider Number","Hospital Name","Address 1","Address 2","Address 3","City","State","ZIP Code","County Name","Phone Number","Percent of Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function","Number of Patients 1","Footnote 1","Percent of Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)","Number of Patients 2","Footnote 2","Percent of Heart Failure Patients Given Discharge Instructions","Number of Patients 3","Footnote 3"
"490043","INOVA LOUDOUN HOSPITAL","44045 RIVERSIDE PARKWAY","","","LEESBURG","VA","20176","LOUDOUN","7038586600","100","275","Data submitted were based on a sample of cases/patients","100","65","Data submitted were based on a sample of cases/patients","99","227","Data submitted were based on a sample of cases/patients"
"490044","SENTARA OBICI HOSPITAL","2800 GODWIN BOULEVARD","","","SUFFOLK","VA","23439","SUFFOLK CITY","7579344000","100","373","","98","106","","96","314",""
"490045","PRINCE WILLIAM HOSPITAL","8700 SUDLEY RD","","","MANASSAS","VA","20110","MANASSAS CITY","7033698000","100","154","","100","53","","93","128",""
"490046","SENTARA LEIGH HOSPITAL","830 KEMPSVILLE ROAD","","","NORFOLK","VA","23502","NORFOLK CITY","7572616601","100","469","","99","155","","100","368",""
"490048","LEWISGALE MEDICAL CENTER","1900 ELECTRIC ROAD","","","SALEM","VA","24153","SALEM","5407764000","100","399","","100","92","","97","313",""
"490050","VIRGINIA HOSPITAL CENTER","1701 NORTH GEORGE MASON DRIVE","","","ARLINGTON","VA","22205","ARLINGTON","7035585000","100","274","","98","92","","95","212",""
"490052","RIVERSIDE REGIONAL MEDICAL CENTER","500 J CLYDE MORRIS BLVD","","","NEWPORT NEWS","VA","23601","NEWPORT NEWS CITY","7575942000","100","486","","100","167","","99","409",""
"490053","JOHNSTON MEMORIAL HOSPITAL","16000 JOHNSTON MEMORIAL DRIVE","","","ABINGDON","VA","24211","WASHINGTON","2762581000","96","181","Data submitted were based on a sample of cases/patients","95","40","Data submitted were based on a sample of cases/patients","94","148","Data submitted were based on a sample of cases/patients"
"490057","SENTARA VIRGINIA BEACH GENERAL HOSPITAL","1060 FIRST COLONIAL ROAD","","","VIRGINIA BEACH","VA","23454","VIRGINIA BEACH CITY","7573958000","100","465","","100","154","","98","387",""
"490059","BON SECOURS ST MARYS HOSPITAL","5801 BREMO RD","","","RICHMOND","VA","23226","HENRICO","8042852011","100","331","Data submitted were based on a sample of cases/patients","97","102","Data submitted were based on a sample of cases/patients","100","247","Data submitted were based on a sample of cases/patients"
"490060","CLINCH VALLEY MEDICAL CENTER","2949 WEST FRONT STREET","","","RICHLANDS","VA","24641","TAZEWELL","2765966000","100","178","","100","29","","100","166",""
"490063","INOVA FAIRFAX HOSPITAL","8110 GATEHOUSE ROAD, 400 WEST","","","FALLS CHURCH","VA","22042","FAIRFAX","7037763332","98","286","Data submitted were based on a sample of cases/patients","95","75","Data submitted were based on a sample of cases/patients","82","233","Data submitted were based on a sample of cases/patients"
"490066","SENTARA WILLIAMSBURG REGIONAL MEDICAL CENTER","100 SENTARA CIRCLE","","","WILLIAMSBURG","VA","23188","JAMES CITY","7579846000","100","280","","96","69","","99","224",""
"490067","SOUTHSIDE REGIONAL MEDICAL CENTER","200 MEDICAL PARK BOULEVARD","","","PETERSBURG","VA","23805","PETERSBURG CITY","8047655000","100","507","Data submitted were based on a sample of cases/patients","99","205","Data submitted were based on a sample of cases/patients","100","392","Data submitted were based on a sample of cases/patients"
"490069","BON SECOURS MEMORIAL REGIONAL MEDICAL CENTER","8260 ATLEE ROAD","","","MECHANICSVILLE","VA","23116","HANOVER","8047646000","100","451","","100","109","","100","383",""
"49006F","HAMPTON VA MEDICAL CENTER","100 EMANCIPATION DRIVE","","","HAMPTON                       ","VA","23667","HAMPTON CITY","7577229961","100","101","","100","29","","100","95",""
"490075","DANVILLE REGIONAL MEDICAL CENTER","142 SOUTH MAIN STREET","","","DANVILLE","VA","24541","DANVILLE CITY","4347992100","100","286","Data submitted were based on a sample of cases/patients","99","116","Data submitted were based on a sample of cases/patients","93","222","Data submitted were based on a sample of cases/patients"
"490077","MARTHA JEFFERSON HOSPITAL","500 MARTHA JEFFERSON DRIVE","","","CHARLOTTESVILLE","VA","22911","ALBEMARLE","4346547000","100","300","","95","93","","85","230",""
"490079","MEMORIAL HOSPITAL OF MARTINSVILLE & HENRY COUNTY","320 HOSPITAL DRIVE","","","MARTINSVILLE","VA","24115","HENRY","2766667200","100","217","","100","48","","85","162",""
"490084","RIVERSIDE TAPPAHANNOCK HOSPITAL","618 HOSPITAL ROAD","","","TAPPAHANNOCK","VA","22560","ESSEX","8044436189","100","103","","100","34","","100","83",""
"490088","BEDFORD MEMORIAL HOSPITAL","1613 OAKWOOD STREET","","","BEDFORD","VA","24523","Bedford City","5405862441","98","64","","88","16","The number of cases/patients is too few to report","100","41",""
"490089","CARILION FRANKLIN MEMORIAL HOSPITAL","180 FLOYD AVENUE","","","ROCKY MOUNT","VA","24151","FRANKLIN","5404835277","96","77","","100","15","The number of cases/patients is too few to report","98","63",""
"490090","SOUTHSIDE COMMUNITY HOSPITAL, INC","800 OAK STREET","","","FARMVILLE","VA","23901","PRINCE EDWARD","4343928811","99","192","","95","75","","69","144",""
"490092","SOUTHAMPTON MEMORIAL HOSPITAL","100 FAIRVIEW DRIVE - PO BOX 817","","","FRANKLIN","VA","23851","FRANKLIN CITY","7575696100","100","76","Data submitted were based on a sample of cases/patients","100","36","Data submitted were based on a sample of cases/patients","86","58","Data submitted were based on a sample of cases/patients"
"490093","SENTARA CAREPLEX HOSPITAL","3000 COLISEUM DRIVE","","","HAMPTON","VA","23666","HAMPTON CITY","7577361000","99","376","","97","110","","97","304",""
"490094","BON SECOURS RICHMOND COMMUNITY HOSPITAL","1500 N. 28TH STREET","","","RICHMOND","VA","23223","RICHMOND CITY","8042251700","100","66","","95","21","The number of cases/patients is too few to report","100","53",""
"490097","SOUTHERN VIRGINIA REGIONAL MEDICAL CENTER","727 NORTH MAIN STREET","","","EMPORIA","VA","23847","Emporia City","4343484400","100","171","Data submitted were based on a sample of cases/patients","98","59","Data submitted were based on a sample of cases/patients","96","144","Data submitted were based on a sample of cases/patients"
"490098","COMMUNITY MEMORIAL HEALTHCENTER, INC","125 BUENA VISTA CIRCLE","","","SOUTH HILL","VA","23970","MECKLENBURG","4344473151","100","205","","100","42","","100","155",""
"490101","INOVA FAIR OAKS HOSPITAL","3600 JOSEPH SIEWICK DRIVE","","","FAIRFAX","VA","22033","FAIRFAX","7033914170","100","194","","97","33","","93","166",""
"490105","SOUTHWESTERN VIRGINIA MENTAL HEALTH INSTITUTE","340 BAGLEY CIRCLE","","","MARION","VA","24354","SMYTH","2767831217","Not Available","Not Available","Results are not available for this reporting period","Not Available","Not Available","Results are not available for this reporting period","Not Available","Not Available","Results are not available for this reporting period"
"490106","WESTERN STATE HOSPITAL","1301 RICHMOND AVENUE","","","STAUNTON","VA","24402","STAUNTON CITY","7033328000","Not Available","Not Available","Results are not available for this reporting period","Not Available","Not Available","Results are not available for this reporting period","Not Available","Not Available","Results are not available for this reporting period"
"490107","RESTON HOSPITAL CENTER","1850 TOWN CENTER PARKWAY","","","RESTON","VA","20190","FAIRFAX","7036899000","100","243","","100","35","","100","200",""
"490109","EASTERN STATE HOSPITAL","4601 IRONBOUND ROAD","","","WILLIAMSBURG","VA","23188","JAMES CITY","7572535161","Not Available","Not Available","Results are not available for this reporting period","Not Available","Not Available","Results are not available for this reporting period","Not Available","Not Available","Results are not available for this reporting period"
"49010F","RICHMOND VA MEDICAL CENTER","1201 BROAD ROCK BOULEVARD","","","RICHMOND                      ","VA","23249","RICHMOND CITY","8046755000","100","314","","100","121","","100","295",""
"490110","LEWISGALE HOSPITAL MONTGOMERY","3700 SOUTH MAIN STREET","","","BLACKSBURG","VA","24060","MONTGOMERY","5409511111","100","73","","100","23","The number of cases/patients is too few to report","96","56",""
"490111","WYTHE COUNTY COMMUNITY HOSPITAL","600 WEST RIDGE ROAD","","","WYTHEVILLE","VA","24382","WYTHE","2762280200","100","78","","96","24","The number of cases/patients is too few to report","94","50",""
"490112","CJW MEDICAL CENTER ( JOHNSTON-WILLIS CAMPUS)","1401 JOHNSTON WILLIS DRIVE","","","RICHMOND","VA","23235","CHESTERFIELD","8043302001","100","706","","100","200","","97","567",""
"490113","SENTARA NORTHERN VIRGINIA MEDICAL CENTER","2300 OPITZ BOULEVARD","","","WOODBRIDGE","VA","22191","PRINCE WILLIAM","7035231000","100","303","","100","78","","95","270",""
"490114","WELLMONT LONESOME PINE HOSPITAL","1990 HOLTON AVENUE EAST","","","BIG STONE GAP","VA","24219","WISE","2765233111","99","82","","96","23","The number of cases/patients is too few to report","84","64",""
"490115","TWIN COUNTY REGIONAL HOSPITAL","200 HOSPITAL DRIVE","","","GALAX","VA","24333","GALAX CITY","2762368181","100","128","","100","21","The number of cases/patients is too few to report","94","83",""
"490116","LEWISGALE HOSPITAL PULASKI","2400 LEE HIGHWAY","","","PULASKI","VA","24301","PULASKI","5409948100","100","109","","91","43","","88","80",""
"490117","CARILION TAZEWELL COMMUNITY HOSPITAL","141 BEN BOLT AVENUE","","","TAZEWELL","VA","24651","TAZEWELL","2769888700","97","38","","Not Available","Not Available","The number of cases/patients is too few to report","100","26",""
"490118","HENRICO DOCTORS' HOSPITAL","1602 SKIPWITH ROAD","","","RICHMOND","VA","23229","HENRICO","8042894500","100","489","","100","143","","97","390",""
"490119","SENTARA PRINCESS ANNE HOSPITAL","2025 GLENN MITCHELL DRIVE","","","VIRGINIA BEACH","VA","23456","VIRGINIA BEACH CITY","7575071520","100","316","","100","93","","99","277",""
"49011F","SALEM VA MEDICAL CENTER","1970 BOULEVARD","","","SALEM                         ","VA","24153","SALEM","5409822463","100","141","","91","47","","98","123",""
"490120","CHESAPEAKE GENERAL HOSPITAL","736 BATTLEFIELD BLVD, NORTH","","","CHESAPEAKE","VA","23320","CHESAPEAKE CITY","7573128121","99","297","Data submitted were based on a sample of cases/patients","90","103","Data submitted were based on a sample of cases/patients","91","238","Data submitted were based on a sample of cases/patients"
"490122","INOVA MOUNT VERNON HOSPITAL","2501 PARKERS LANE","","","ALEXANDRIA","VA","22306","FAIRFAX","7036647105","100","194","","96","53","","81","155",""
"490123","RAPPAHANNOCK GENERAL HOSPITAL","101 HARRIS ROAD","","","KILMARNOCK","VA","22482","LANCASTER","8044358000","100","51","","100","16","The number of cases/patients is too few to report","89","44",""
"490126","LEWISGALE HOSPITAL ALLEGHANY","ONE ARH LANE - PO BOX 7","","","LOW MOOR","VA","24457","ALLEGHANY","5408626011","100","119","","100","18","The number of cases/patients is too few to report","98","91",""
