"State","Diagnosis Related Group ID","Diagnosis Related Group Name","Medicare Payment Range","Number Of Cases"
"NY","568","Stomach and Esophagus Operations in Adults with Complications or Preexisting Conditions without Major Gastrointestinal Condition","19677 - 33245","913"
"OH","568","Stomach and Esophagus Operations in Adults with Complications or Preexisting Conditions without Major Gastrointestinal Condition","17739 - 22313","651"
"OK","568","Stomach and Esophagus Operations in Adults with Complications or Preexisting Conditions without Major Gastrointestinal Condition","17192 - 20197","203"
"OR","568","Stomach and Esophagus Operations in Adults with Complications or Preexisting Conditions without Major Gastrointestinal Condition","20317 - 29136","203"
"PA","568","Stomach and Esophagus Operations in Adults with Complications or Preexisting Conditions without Major Gastrointestinal Condition","18196 - 23904","762"
"PR","568","Stomach and Esophagus Operations in Adults with Complications or Preexisting Conditions without Major Gastrointestinal Condition","10851 - 12032","64"
"RI","568","Stomach and Esophagus Operations in Adults with Complications or Preexisting Conditions without Major Gastrointestinal Condition","20140 - 27249","32"
"SC","568","Stomach and Esophagus Operations in Adults with Complications or Preexisting Conditions without Major Gastrointestinal Condition","17878 - 21484","281"
"SD","568","Stomach and Esophagus Operations in Adults with Complications or Preexisting Conditions without Major Gastrointestinal Condition","18314 - 19000","57"
"TN","568","Stomach and Esophagus Operations in Adults with Complications or Preexisting Conditions without Major Gastrointestinal Condition","17712 - 20812","391"
"TX","568","Stomach and Esophagus Operations in Adults with Complications or Preexisting Conditions without Major Gastrointestinal Condition","18169 - 21851","1049"
"UT","568","Stomach and Esophagus Operations in Adults with Complications or Preexisting Conditions without Major Gastrointestinal Condition","18660 - 24885","105"
"VA","568","Stomach and Esophagus Operations in Adults with Complications or Preexisting Conditions without Major Gastrointestinal Condition","16890 - 26149","315"
"VT","568","Stomach and Esophagus Operations in Adults with Complications or Preexisting Conditions without Major Gastrointestinal Condition","21416 - 27230","20"
"WA","568","Stomach and Esophagus Operations in Adults with Complications or Preexisting Conditions without Major Gastrointestinal Condition","21059 - 23811","313"
"WI","568","Stomach and Esophagus Operations in Adults with Complications or Preexisting Conditions without Major Gastrointestinal Condition","18295 - 22445","337"
"WV","568","Stomach and Esophagus Operations in Adults with Complications or Preexisting Conditions without Major Gastrointestinal Condition","17378 - 24380","115"
"WY","568","Stomach and Esophagus Operations in Adults with Complications or Preexisting Conditions without Major Gastrointestinal Condition","18500 - 19340","14"
"AK","569","Major Small and Large Intestine Operations with Complications or Preexisting Conditions with Major Gastrointestinal Condition","33568 - 46421","100"
"AL","569","Major Small and Large Intestine Operations with Complications or Preexisting Conditions with Major Gastrointestinal Condition","21512 - 24244","1209"
"AR","569","Major Small and Large Intestine Operations with Complications or Preexisting Conditions with Major Gastrointestinal Condition","22269 - 26033","736"
"AZ","569","Major Small and Large Intestine Operations with Complications or Preexisting Conditions with Major Gastrointestinal Condition","23446 - 27884","961"
"CA","569","Major Small and Large Intestine Operations with Complications or Preexisting Conditions with Major Gastrointestinal Condition","27340 - 38229","3993"
"CO","569","Major Small and Large Intestine Operations with Complications or Preexisting Conditions with Major Gastrointestinal Condition","22799 - 27175","754"
"CT","569","Major Small and Large Intestine Operations with Complications or Preexisting Conditions with Major Gastrointestinal Condition","27001 - 32725","914"
"DC","569","Major Small and Large Intestine Operations with Complications or Preexisting Conditions with Major Gastrointestinal Condition","31762 - 34230","209"
"DE","569","Major Small and Large Intestine Operations with Complications or Preexisting Conditions with Major Gastrointestinal Condition","24514 - 28730","280"
"FL","569","Major Small and Large Intestine Operations with Complications or Preexisting Conditions with Major Gastrointestinal Condition","22062 - 25898","4354"
"GA","569","Major Small and Large Intestine Operations with Complications or Preexisting Conditions with Major Gastrointestinal Condition","22948 - 27723","1746"
"HI","569","Major Small and Large Intestine Operations with Complications or Preexisting Conditions with Major Gastrointestinal Condition","27554 - 32871","144"
"IA","569","Major Small and Large Intestine Operations with Complications or Preexisting Conditions with Major Gastrointestinal Condition","21573 - 23930","683"
"ID","569","Major Small and Large Intestine Operations with Complications or Preexisting Conditions with Major Gastrointestinal Condition","23073 - 25148","243"
"IL","569","Major Small and Large Intestine Operations with Complications or Preexisting Conditions with Major Gastrointestinal Condition","22957 - 29845","2871"
"IN","569","Major Small and Large Intestine Operations with Complications or Preexisting Conditions with Major Gastrointestinal Condition","22762 - 25651","1595"
"KS","569","Major Small and Large Intestine Operations with Complications or Preexisting Conditions with Major Gastrointestinal Condition","21362 - 26377","613"
"KY","569","Major Small and Large Intestine Operations with Complications or Preexisting Conditions with Major Gastrointestinal Condition","22047 - 26341","1208"
"LA","569","Major Small and Large Intestine Operations with Complications or Preexisting Conditions with Major Gastrointestinal Condition","21950 - 25978","914"
"MA","569","Major Small and Large Intestine Operations with Complications or Preexisting Conditions with Major Gastrointestinal Condition","25383 - 34321","1523"
"MD","569","Major Small and Large Intestine Operations with Complications or Preexisting Conditions with Major Gastrointestinal Condition","17523 - 39446","1234"
"ME","569","Major Small and Large Intestine Operations with Complications or Preexisting Conditions with Major Gastrointestinal Condition","22509 - 27446","403"
"MI","569","Major Small and Large Intestine Operations with Complications or Preexisting Conditions with Major Gastrointestinal Condition","24047 - 29751","2416"
"MN","569","Major Small and Large Intestine Operations with Complications or Preexisting Conditions with Major Gastrointestinal Condition","24370 - 30288","984"
"MO","569","Major Small and Large Intestine Operations with Complications or Preexisting Conditions with Major Gastrointestinal Condition","21730 - 26863","1590"
"MS","569","Major Small and Large Intestine Operations with Complications or Preexisting Conditions with Major Gastrointestinal Condition","22236 - 25994","670"
"MT","569","Major Small and Large Intestine Operations with Complications or Preexisting Conditions with Major Gastrointestinal Condition","21518 - 24438","215"
"NC","569","Major Small and Large Intestine Operations with Complications or Preexisting Conditions with Major Gastrointestinal Condition","23342 - 27787","1992"
"ND","569","Major Small and Large Intestine Operations with Complications or Preexisting Conditions with Major Gastrointestinal Condition","20939 - 22531","209"
"NE","569","Major Small and Large Intestine Operations with Complications or Preexisting Conditions with Major Gastrointestinal Condition","22633 - 29088","444"
"NH","569","Major Small and Large Intestine Operations with Complications or Preexisting Conditions with Major Gastrointestinal Condition","25923 - 33642","294"
"NJ","569","Major Small and Large Intestine Operations with Complications or Preexisting Conditions with Major Gastrointestinal Condition","25782 - 31967","2004"
"NM","569","Major Small and Large Intestine Operations with Complications or Preexisting Conditions with Major Gastrointestinal Condition","23866 - 29362","265"
"NV","569","Major Small and Large Intestine Operations with Complications or Preexisting Conditions with Major Gastrointestinal Condition","24937 - 28928","350"
"NY","569","Major Small and Large Intestine Operations with Complications or Preexisting Conditions with Major Gastrointestinal Condition","23792 - 39690","3518"
"OH","569","Major Small and Large Intestine Operations with Complications or Preexisting Conditions with Major Gastrointestinal Condition","22245 - 27053","2868"
"OK","569","Major Small and Large Intestine Operations with Complications or Preexisting Conditions with Major Gastrointestinal Condition","21395 - 26053","901"
"OR","569","Major Small and Large Intestine Operations with Complications or Preexisting Conditions with Major Gastrointestinal Condition","24873 - 28110","646"
"PA","569","Major Small and Large Intestine Operations with Complications or Preexisting Conditions with Major Gastrointestinal Condition","21856 - 27657","2945"
"PR","569","Major Small and Large Intestine Operations with Complications or Preexisting Conditions with Major Gastrointestinal Condition","13998 - 15812","170"
"RI","569","Major Small and Large Intestine Operations with Complications or Preexisting Conditions with Major Gastrointestinal Condition","23341 - 31700","228"
"SC","569","Major Small and Large Intestine Operations with Complications or Preexisting Conditions with Major Gastrointestinal Condition","22959 - 27555","1015"
"SD","569","Major Small and Large Intestine Operations with Complications or Preexisting Conditions with Major Gastrointestinal Condition","21913 - 25598","241"
"TN","569","Major Small and Large Intestine Operations with Complications or Preexisting Conditions with Major Gastrointestinal Condition","22337 - 26729","1499"
"TX","569","Major Small and Large Intestine Operations with Complications or Preexisting Conditions with Major Gastrointestinal Condition","22888 - 27625","4112"
"UT","569","Major Small and Large Intestine Operations with Complications or Preexisting Conditions with Major Gastrointestinal Condition","22314 - 25836","422"
"VA","569","Major Small and Large Intestine Operations with Complications or Preexisting Conditions with Major Gastrointestinal Condition","21672 - 26377","1507"
"VT","569","Major Small and Large Intestine Operations with Complications or Preexisting Conditions with Major Gastrointestinal Condition","25763 - 35125","113"
"WA","569","Major Small and Large Intestine Operations with Complications or Preexisting Conditions with Major Gastrointestinal Condition","25828 - 29396","1078"
"WI","569","Major Small and Large Intestine Operations with Complications or Preexisting Conditions with Major Gastrointestinal Condition","23012 - 27298","1213"
"WV","569","Major Small and Large Intestine Operations with Complications or Preexisting Conditions with Major Gastrointestinal Condition","21129 - 25240","489"
"WY","569","Major Small and Large Intestine Operations with Complications or Preexisting Conditions with Major Gastrointestinal Condition","23391 - 27079","96"
"AK","570","Major Small and Large Intestine Operations with Complications or Preexisting Conditions without Major Gastrointestinal Condition","20840 - 28859","80"
"AL","570","Major Small and Large Intestine Operations with Complications or Preexisting Conditions without Major Gastrointestinal Condition","13424 - 14976","1311"
"AR","570","Major Small and Large Intestine Operations with Complications or Preexisting Conditions without Major Gastrointestinal Condition","14025 - 15521","735"
"AZ","570","Major Small and Large Intestine Operations with Complications or Preexisting Conditions without Major Gastrointestinal Condition","14985 - 16854","975"
"CA","570","Major Small and Large Intestine Operations with Complications or Preexisting Conditions without Major Gastrointestinal Condition","17097 - 21937","4072"
"CO","570","Major Small and Large Intestine Operations with Complications or Preexisting Conditions without Major Gastrointestinal Condition","14309 - 16893","655"
"CT","570","Major Small and Large Intestine Operations with Complications or Preexisting Conditions without Major Gastrointestinal Condition","16823 - 20290","915"
"DC","570","Major Small and Large Intestine Operations with Complications or Preexisting Conditions without Major Gastrointestinal Condition","16874 - 21034","212"
"DE","570","Major Small and Large Intestine Operations with Complications or Preexisting Conditions without Major Gastrointestinal Condition","15214 - 17860","248"
"FL","570","Major Small and Large Intestine Operations with Complications or Preexisting Conditions without Major Gastrointestinal Condition","13847 - 15888","4434"
