Hospital Name,Provider Number,State,Measure Name,Number of Discharges,Footnote,Excess Readmission Ratio,Predicted Readmission Rate,Expected Readmission Rate,Number of Readmissions,Start Date,End Date
"TRISTAR CENTENNIAL MEDICAL CENTER","440161","TN","READM-30-AMI-HRRP","395","","0.8625","14.1","16.4","49","07/01/2009","06/30/2012"
"TRISTAR CENTENNIAL MEDICAL CENTER","440161","TN","READM-30-HF-HRRP","727","","0.9543","21.9","23.0","157","07/01/2009","06/30/2012"
"TRISTAR CENTENNIAL MEDICAL CENTER","440161","TN","READM-30-PN-HRRP","426","","1.0583","19.9","18.8","88","07/01/2009","06/30/2012"
"METHODIST HEALTHCARE FAYETTE HOSPITAL","440168","TN","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"METHODIST HEALTHCARE FAYETTE HOSPITAL","440168","TN","READM-30-HF-HRRP","29","","0.9781","21.4","21.9","Too Few To Report","07/01/2009","06/30/2012"
"METHODIST HEALTHCARE FAYETTE HOSPITAL","440168","TN","READM-30-PN-HRRP","61","","1.0143","16.7","16.5","11","07/01/2009","06/30/2012"
"PARKWEST MEDICAL CENTER","440173","TN","READM-30-AMI-HRRP","429","","0.9072","14.3","15.8","57","07/01/2009","06/30/2012"
"PARKWEST MEDICAL CENTER","440173","TN","READM-30-HF-HRRP","648","","1.0364","23.0","22.2","151","07/01/2009","06/30/2012"
"PARKWEST MEDICAL CENTER","440173","TN","READM-30-PN-HRRP","588","","0.9958","17.2","17.3","101","07/01/2009","06/30/2012"
"HAYWOOD PARK COMMUNITY HOSPITAL","440174","TN","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"HAYWOOD PARK COMMUNITY HOSPITAL","440174","TN","READM-30-HF-HRRP","87","","1.0462","22.5","21.5","22","07/01/2009","06/30/2012"
"HAYWOOD PARK COMMUNITY HOSPITAL","440174","TN","READM-30-PN-HRRP","40","","1.0652","18.5","17.4","11","07/01/2009","06/30/2012"
"CROCKETT HOSPITAL","440175","TN","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"CROCKETT HOSPITAL","440175","TN","READM-30-HF-HRRP","153","","1.1258","26.3","23.4","47","07/01/2009","06/30/2012"
"CROCKETT HOSPITAL","440175","TN","READM-30-PN-HRRP","342","","1.0964","18.9","17.3","70","07/01/2009","06/30/2012"
"INDIAN PATH MEDICAL CENTER","440176","TN","READM-30-AMI-HRRP","70","","1.0345","20.5","19.8","16","07/01/2009","06/30/2012"
"INDIAN PATH MEDICAL CENTER","440176","TN","READM-30-HF-HRRP","165","","1.0328","26.1","25.3","45","07/01/2009","06/30/2012"
"INDIAN PATH MEDICAL CENTER","440176","TN","READM-30-PN-HRRP","247","","1.0379","19.4","18.7","50","07/01/2009","06/30/2012"
"JELLICO COMMUNITY HOSPITAL","440180","TN","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"JELLICO COMMUNITY HOSPITAL","440180","TN","READM-30-HF-HRRP","74","","1.1107","25.7","23.2","25","07/01/2009","06/30/2012"
"JELLICO COMMUNITY HOSPITAL","440180","TN","READM-30-PN-HRRP","234","","1.1481","22.2","19.3","60","07/01/2009","06/30/2012"
"BOLIVAR GENERAL HOSPITAL","440181","TN","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"BOLIVAR GENERAL HOSPITAL","440181","TN","READM-30-HF-HRRP","54","","1.0361","24.1","23.3","15","07/01/2009","06/30/2012"
"BOLIVAR GENERAL HOSPITAL","440181","TN","READM-30-PN-HRRP","64","","0.9417","17.8","18.9","Too Few To Report","07/01/2009","06/30/2012"
"MCKENZIE REGIONAL HOSPITAL","440182","TN","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"MCKENZIE REGIONAL HOSPITAL","440182","TN","READM-30-HF-HRRP","54","","0.9990","20.5","20.5","11","07/01/2009","06/30/2012"
"MCKENZIE REGIONAL HOSPITAL","440182","TN","READM-30-PN-HRRP","105","","1.0348","16.3","15.7","19","07/01/2009","06/30/2012"
"ST FRANCIS HOSPITAL","440183","TN","READM-30-AMI-HRRP","252","","0.9400","16.2","17.3","38","07/01/2009","06/30/2012"
"ST FRANCIS HOSPITAL","440183","TN","READM-30-HF-HRRP","731","","0.9874","20.8","21.0","151","07/01/2009","06/30/2012"
"ST FRANCIS HOSPITAL","440183","TN","READM-30-PN-HRRP","397","","1.0408","18.3","17.6","75","07/01/2009","06/30/2012"
"FRANKLIN WOODS COMMUNITY HOSPITAL","440184","TN","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"FRANKLIN WOODS COMMUNITY HOSPITAL","440184","TN","READM-30-HF-HRRP","82","","0.9757","23.6","24.2","18","07/01/2009","06/30/2012"
"FRANKLIN WOODS COMMUNITY HOSPITAL","440184","TN","READM-30-PN-HRRP","232","","0.9065","15.3","16.9","30","07/01/2009","06/30/2012"
"SKYRIDGE MEDICAL CENTER","440185","TN","READM-30-AMI-HRRP","90","","1.0038","20.9","20.8","19","07/01/2009","06/30/2012"
"SKYRIDGE MEDICAL CENTER","440185","TN","READM-30-HF-HRRP","388","","1.1947","27.5","23.0","117","07/01/2009","06/30/2012"
"SKYRIDGE MEDICAL CENTER","440185","TN","READM-30-PN-HRRP","566","","1.0785","18.9","17.5","111","07/01/2009","06/30/2012"
"LIVINGSTON REGIONAL HOSPITAL","440187","TN","READM-30-AMI-HRRP","25","","1.0501","22.4","21.3","Too Few To Report","07/01/2009","06/30/2012"
"LIVINGSTON REGIONAL HOSPITAL","440187","TN","READM-30-HF-HRRP","170","","1.1090","24.3","21.9","47","07/01/2009","06/30/2012"
"LIVINGSTON REGIONAL HOSPITAL","440187","TN","READM-30-PN-HRRP","344","","1.3200","22.4","17.0","93","07/01/2009","06/30/2012"
"REGIONAL HOSPITAL OF JACKSON","440189","TN","READM-30-AMI-HRRP","224","","1.0884","21.8","20.0","53","07/01/2009","06/30/2012"
"REGIONAL HOSPITAL OF JACKSON","440189","TN","READM-30-HF-HRRP","294","","0.9800","23.2","23.6","67","07/01/2009","06/30/2012"
"REGIONAL HOSPITAL OF JACKSON","440189","TN","READM-30-PN-HRRP","205","","1.0452","20.2","19.3","44","07/01/2009","06/30/2012"
"HIGHLANDS MEDICAL CENTER","440192","TN","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"HIGHLANDS MEDICAL CENTER","440192","TN","READM-30-HF-HRRP","96","","1.0371","22.9","22.1","24","07/01/2009","06/30/2012"
"HIGHLANDS MEDICAL CENTER","440192","TN","READM-30-PN-HRRP","185","","1.0698","19.0","17.8","39","07/01/2009","06/30/2012"
"UNIVERSITY MEDICAL CENTER","440193","TN","READM-30-AMI-HRRP","41","","0.9563","19.9","20.8","Too Few To Report","07/01/2009","06/30/2012"
"UNIVERSITY MEDICAL CENTER","440193","TN","READM-30-HF-HRRP","191","","1.1520","26.2","22.7","58","07/01/2009","06/30/2012"
"UNIVERSITY MEDICAL CENTER","440193","TN","READM-30-PN-HRRP","270","","1.0541","17.8","16.9","51","07/01/2009","06/30/2012"
"TRISTAR HENDERSONVILLE MEDICAL CENTER","440194","TN","READM-30-AMI-HRRP","51","","0.9245","17.0","18.4","Too Few To Report","07/01/2009","06/30/2012"
"TRISTAR HENDERSONVILLE MEDICAL CENTER","440194","TN","READM-30-HF-HRRP","162","","1.0944","24.7","22.5","45","07/01/2009","06/30/2012"
"TRISTAR HENDERSONVILLE MEDICAL CENTER","440194","TN","READM-30-PN-HRRP","168","","0.9877","17.7","17.9","29","07/01/2009","06/30/2012"
"TRISTAR SOUTHERN HILLS MEDICAL CENTER","440197","TN","READM-30-AMI-HRRP","58","","0.9883","18.2","18.4","Too Few To Report","07/01/2009","06/30/2012"
"TRISTAR SOUTHERN HILLS MEDICAL CENTER","440197","TN","READM-30-HF-HRRP","133","","0.9490","20.9","22.1","25","07/01/2009","06/30/2012"
"TRISTAR SOUTHERN HILLS MEDICAL CENTER","440197","TN","READM-30-PN-HRRP","178","","1.0615","16.7","15.7","33","07/01/2009","06/30/2012"
"STONES RIVER HOSPITAL & DEKALB COMMUNITY HOSPITAL","440200","TN","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"STONES RIVER HOSPITAL & DEKALB COMMUNITY HOSPITAL","440200","TN","READM-30-HF-HRRP","56","","1.0944","24.9","22.8","19","07/01/2009","06/30/2012"
"STONES RIVER HOSPITAL & DEKALB COMMUNITY HOSPITAL","440200","TN","READM-30-PN-HRRP","82","","1.0182","17.1","16.8","15","07/01/2009","06/30/2012"
"SAINT THOMAS HOSPITAL FOR SPINAL SURGERY","440218","TN","READM-30-AMI-HRRP","0","7","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"SAINT THOMAS HOSPITAL FOR SPINAL SURGERY","440218","TN","READM-30-HF-HRRP","0","7","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"SAINT THOMAS HOSPITAL FOR SPINAL SURGERY","440218","TN","READM-30-PN-HRRP","0","7","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"TRISTAR STONECREST MEDICAL CENTER","440227","TN","READM-30-AMI-HRRP","40","","0.9397","17.3","18.4","Too Few To Report","07/01/2009","06/30/2012"
"TRISTAR STONECREST MEDICAL CENTER","440227","TN","READM-30-HF-HRRP","107","","1.0743","26.1","24.3","32","07/01/2009","06/30/2012"
"TRISTAR STONECREST MEDICAL CENTER","440227","TN","READM-30-PN-HRRP","207","","1.0290","17.6","17.1","38","07/01/2009","06/30/2012"
"SAINT FRANCIS BARTLETT MEDICAL CENTER","440228","TN","READM-30-AMI-HRRP","26","","1.0096","17.5","17.4","Too Few To Report","07/01/2009","06/30/2012"
"SAINT FRANCIS BARTLETT MEDICAL CENTER","440228","TN","READM-30-HF-HRRP","196","","1.0112","21.6","21.4","43","07/01/2009","06/30/2012"
"SAINT FRANCIS BARTLETT MEDICAL CENTER","440228","TN","READM-30-PN-HRRP","309","","0.9583","16.3","17.0","48","07/01/2009","06/30/2012"
"TRUSTPOINT HOSPITAL","440231","TN","READM-30-AMI-HRRP","0","7","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"TRUSTPOINT HOSPITAL","440231","TN","READM-30-HF-HRRP","0","7","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"TRUSTPOINT HOSPITAL","440231","TN","READM-30-PN-HRRP","0","7","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"PROVIDENCE MEMORIAL HOSPITAL","450002","TX","READM-30-AMI-HRRP","114","","0.9606","15.7","16.3","16","07/01/2009","06/30/2012"
"PROVIDENCE MEMORIAL HOSPITAL","450002","TX","READM-30-HF-HRRP","360","","0.9258","20.9","22.6","71","07/01/2009","06/30/2012"
"PROVIDENCE MEMORIAL HOSPITAL","450002","TX","READM-30-PN-HRRP","325","","0.9775","17.0","17.4","54","07/01/2009","06/30/2012"
"MEMORIAL HERMANN BAPTIST ORANGE HOSPITAL","450005","TX","READM-30-AMI-HRRP","33","","0.9423","21.0","22.2","Too Few To Report","07/01/2009","06/30/2012"
"MEMORIAL HERMANN BAPTIST ORANGE HOSPITAL","450005","TX","READM-30-HF-HRRP","104","","0.9611","20.3","21.1","19","07/01/2009","06/30/2012"
"MEMORIAL HERMANN BAPTIST ORANGE HOSPITAL","450005","TX","READM-30-PN-HRRP","135","","0.9001","13.8","15.3","13","07/01/2009","06/30/2012"
"PETERSON REGIONAL MEDICAL CENTER","450007","TX","READM-30-AMI-HRRP","28","","0.9885","19.8","20.1","Too Few To Report","07/01/2009","06/30/2012"
"PETERSON REGIONAL MEDICAL CENTER","450007","TX","READM-30-HF-HRRP","291","","0.8420","17.6","20.8","42","07/01/2009","06/30/2012"
"PETERSON REGIONAL MEDICAL CENTER","450007","TX","READM-30-PN-HRRP","523","","0.8818","13.5","15.3","64","07/01/2009","06/30/2012"
"UNITED REGIONAL HEALTH CARE SYSTEM","450010","TX","READM-30-AMI-HRRP","436","","0.9440","15.7","16.7","66","07/01/2009","06/30/2012"
"UNITED REGIONAL HEALTH CARE SYSTEM","450010","TX","READM-30-HF-HRRP","874","","0.9611","21.4","22.3","185","07/01/2009","06/30/2012"
"UNITED REGIONAL HEALTH CARE SYSTEM","450010","TX","READM-30-PN-HRRP","688","","1.0140","17.0","16.8","118","07/01/2009","06/30/2012"
"ST JOSEPH REGIONAL HEALTH CENTER","450011","TX","READM-30-AMI-HRRP","323","","0.9317","14.9","16.0","45","07/01/2009","06/30/2012"
"ST JOSEPH REGIONAL HEALTH CENTER","450011","TX","READM-30-HF-HRRP","809","","0.9625","21.1","22.0","169","07/01/2009","06/30/2012"
"ST JOSEPH REGIONAL HEALTH CENTER","450011","TX","READM-30-PN-HRRP","545","","1.0343","17.1","16.5","95","07/01/2009","06/30/2012"
"PARKLAND HEALTH AND HOSPITAL SYSTEM","450015","TX","READM-30-AMI-HRRP","71","","1.0378","18.7","18.0","15","07/01/2009","06/30/2012"
"PARKLAND HEALTH AND HOSPITAL SYSTEM","450015","TX","READM-30-HF-HRRP","280","","0.8992","21.7","24.2","55","07/01/2009","06/30/2012"
"PARKLAND HEALTH AND HOSPITAL SYSTEM","450015","TX","READM-30-PN-HRRP","85","","0.9368","18.6","19.9","12","07/01/2009","06/30/2012"
"UNIVERSITY OF TEXAS MEDICAL BRANCH GAL","450018","TX","READM-30-AMI-HRRP","162","","1.0680","19.7","18.4","35","07/01/2009","06/30/2012"
"UNIVERSITY OF TEXAS MEDICAL BRANCH GAL","450018","TX","READM-30-HF-HRRP","347","","1.0102","24.3","24.1","85","07/01/2009","06/30/2012"
"UNIVERSITY OF TEXAS MEDICAL BRANCH GAL","450018","TX","READM-30-PN-HRRP","201","","1.0411","18.3","17.5","39","07/01/2009","06/30/2012"
"BAYLOR UNIVERSITY MEDICAL CENTER","450021","TX","READM-30-AMI-HRRP","175","","0.9888","18.0","18.2","31","07/01/2009","06/30/2012"
"BAYLOR UNIVERSITY MEDICAL CENTER","450021","TX","READM-30-HF-HRRP","1086","","0.8312","19.5","23.5","202","07/01/2009","06/30/2012"
"BAYLOR UNIVERSITY MEDICAL CENTER","450021","TX","READM-30-PN-HRRP","832","","0.9450","17.1","18.1","139","07/01/2009","06/30/2012"
"CITIZENS MEDICAL CENTER","450023","TX","READM-30-AMI-HRRP","240","","0.9628","17.0","17.7","39","07/01/2009","06/30/2012"
"CITIZENS MEDICAL CENTER","450023","TX","READM-30-HF-HRRP","628","","0.9523","21.6","22.7","133","07/01/2009","06/30/2012"
"CITIZENS MEDICAL CENTER","450023","TX","READM-30-PN-HRRP","422","","0.9468","16.1","17.0","65","07/01/2009","06/30/2012"
"UNIVERSITY MEDICAL CENTER OF EL PASO","450024","TX","READM-30-AMI-HRRP","32","","0.9788","15.5","15.9","Too Few To Report","07/01/2009","06/30/2012"
"UNIVERSITY MEDICAL CENTER OF EL PASO","450024","TX","READM-30-HF-HRRP","85","","0.9313","18.5","19.9","12","07/01/2009","06/30/2012"
"UNIVERSITY MEDICAL CENTER OF EL PASO","450024","TX","READM-30-PN-HRRP","74","","0.9824","14.8","15.1","Too Few To Report","07/01/2009","06/30/2012"
"VHS BROWNSVILLE HOSPITAL COMPANY, LLC","450028","TX","READM-30-AMI-HRRP","185","","1.0532","20.8","19.7","41","07/01/2009","06/30/2012"
"VHS BROWNSVILLE HOSPITAL COMPANY, LLC","450028","TX","READM-30-HF-HRRP","361","","0.9984","23.8","23.9","86","07/01/2009","06/30/2012"
"VHS BROWNSVILLE HOSPITAL COMPANY, LLC","450028","TX","READM-30-PN-HRRP","296","","0.8577","17.5","20.4","43","07/01/2009","06/30/2012"
"LAREDO MEDICAL CENTER","450029","TX","READM-30-AMI-HRRP","173","","0.9990","18.5","18.5","32","07/01/2009","06/30/2012"
"LAREDO MEDICAL CENTER","450029","TX","READM-30-HF-HRRP","626","","1.0541","24.8","23.5","158","07/01/2009","06/30/2012"
"LAREDO MEDICAL CENTER","450029","TX","READM-30-PN-HRRP","649","","1.0274","19.6","19.1","129","07/01/2009","06/30/2012"
"GOOD SHEPHERD MEDICAL CENTER MARSHALL","450032","TX","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"GOOD SHEPHERD MEDICAL CENTER MARSHALL","450032","TX","READM-30-HF-HRRP","220","","1.1554","25.8","22.4","65","07/01/2009","06/30/2012"
"GOOD SHEPHERD MEDICAL CENTER MARSHALL","450032","TX","READM-30-PN-HRRP","186","","1.1479","21.0","18.3","47","07/01/2009","06/30/2012"
"VHS HARLINGEN HOSPITAL COMPANY LLC","450033","TX","READM-30-AMI-HRRP","222","","1.0100","19.2","19.0","43","07/01/2009","06/30/2012"
"VHS HARLINGEN HOSPITAL COMPANY LLC","450033","TX","READM-30-HF-HRRP","758","","1.0444","26.2","25.1","201","07/01/2009","06/30/2012"
"VHS HARLINGEN HOSPITAL COMPANY LLC","450033","TX","READM-30-PN-HRRP","668","","1.0118","18.3","18.1","123","07/01/2009","06/30/2012"
"CHRISTUS HOSPITAL","450034","TX","READM-30-AMI-HRRP","386","","0.9429","16.3","17.2","60","07/01/2009","06/30/2012"
"CHRISTUS HOSPITAL","450034","TX","READM-30-HF-HRRP","994","","1.0751","24.4","22.7","247","07/01/2009","06/30/2012"
"CHRISTUS HOSPITAL","450034","TX","READM-30-PN-HRRP","630","","0.9656","16.5","17.1","102","07/01/2009","06/30/2012"
"ST JOSEPH MEDICAL CENTER","450035","TX","READM-30-AMI-HRRP","56","","0.9248","15.3","16.6","Too Few To Report","07/01/2009","06/30/2012"
"ST JOSEPH MEDICAL CENTER","450035","TX","READM-30-HF-HRRP","232","","1.0200","21.9","21.5","52","07/01/2009","06/30/2012"
"ST JOSEPH MEDICAL CENTER","450035","TX","READM-30-PN-HRRP","78","","0.9971","16.9","16.9","13","07/01/2009","06/30/2012"
"GOOD SHEPHERD MEDICAL CENTER","450037","TX","READM-30-AMI-HRRP","542","","0.9699","16.7","17.2","89","07/01/2009","06/30/2012"
"GOOD SHEPHERD MEDICAL CENTER","450037","TX","READM-30-HF-HRRP","974","","1.0320","22.9","22.2","225","07/01/2009","06/30/2012"
"GOOD SHEPHERD MEDICAL CENTER","450037","TX","READM-30-PN-HRRP","678","","1.1108","19.5","17.5","138","07/01/2009","06/30/2012"
"JPS HEALTH NETWORK","450039","TX","READM-30-AMI-HRRP","61","","0.9754","20.1","20.6","11","07/01/2009","06/30/2012"
"JPS HEALTH NETWORK","450039","TX","READM-30-HF-HRRP","124","","0.9953","24.4","24.5","30","07/01/2009","06/30/2012"
"JPS HEALTH NETWORK","450039","TX","READM-30-PN-HRRP","129","","1.0220","20.0","19.5","27","07/01/2009","06/30/2012"
"COVENANT MEDICAL CENTER","450040","TX","READM-30-AMI-HRRP","616","","0.9339","15.6","16.7","93","07/01/2009","06/30/2012"
"COVENANT MEDICAL CENTER","450040","TX","READM-30-HF-HRRP","854","","0.9736","22.4","23.0","190","07/01/2009","06/30/2012"
"COVENANT MEDICAL CENTER","450040","TX","READM-30-PN-HRRP","887","","0.9140","16.6","18.1","142","07/01/2009","06/30/2012"
"PROVIDENCE HEALTH CENTER","450042","TX","READM-30-AMI-HRRP","416","","0.9752","15.9","16.3","65","07/01/2009","06/30/2012"
"PROVIDENCE HEALTH CENTER","450042","TX","READM-30-HF-HRRP","665","","0.9773","20.5","21.0","135","07/01/2009","06/30/2012"
"PROVIDENCE HEALTH CENTER","450042","TX","READM-30-PN-HRRP","447","","1.0623","17.4","16.3","81","07/01/2009","06/30/2012"
"UT SOUTHWESTERN UNIVERSITY HOSPITAL","450044","TX","READM-30-AMI-HRRP","120","","0.9306","18.7","20.1","19","07/01/2009","06/30/2012"
"UT SOUTHWESTERN UNIVERSITY HOSPITAL","450044","TX","READM-30-HF-HRRP","496","","0.9452","23.2","24.6","112","07/01/2009","06/30/2012"
"UT SOUTHWESTERN UNIVERSITY HOSPITAL","450044","TX","READM-30-PN-HRRP","238","","0.9750","17.4","17.9","40","07/01/2009","06/30/2012"
"CHRISTUS SPOHN HOSPITAL CORPUS CHRISTI","450046","TX","READM-30-AMI-HRRP","453","","1.0232","19.2","18.7","88","07/01/2009","06/30/2012"
"CHRISTUS SPOHN HOSPITAL CORPUS CHRISTI","450046","TX","READM-30-HF-HRRP","986","","0.9906","23.6","23.8","232","07/01/2009","06/30/2012"
"CHRISTUS SPOHN HOSPITAL CORPUS CHRISTI","450046","TX","READM-30-PN-HRRP","864","","0.9888","19.1","19.3","164","07/01/2009","06/30/2012"
"METHODIST DALLAS MEDICAL CENTER","450051","TX","READM-30-AMI-HRRP","216","","1.0331","19.2","18.6","43","07/01/2009","06/30/2012"
"METHODIST DALLAS MEDICAL CENTER","450051","TX","READM-30-HF-HRRP","455","","1.0983","25.6","23.4","122","07/01/2009","06/30/2012"
"METHODIST DALLAS MEDICAL CENTER","450051","TX","READM-30-PN-HRRP","281","","1.0609","19.1","18.0","57","07/01/2009","06/30/2012"
"GOODALL WITCHER HOSPITAL","450052","TX","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"GOODALL WITCHER HOSPITAL","450052","TX","READM-30-HF-HRRP","44","","1.0506","21.3","20.2","12","07/01/2009","06/30/2012"
"GOODALL WITCHER HOSPITAL","450052","TX","READM-30-PN-HRRP","125","","0.9758","14.7","15.0","17","07/01/2009","06/30/2012"
"SCOTT & WHITE MEMORIAL HOSPITAL","450054","TX","READM-30-AMI-HRRP","552","","1.0046","19.0","18.9","105","07/01/2009","06/30/2012"
"SCOTT & WHITE MEMORIAL HOSPITAL","450054","TX","READM-30-HF-HRRP","743","","0.9827","23.8","24.2","176","07/01/2009","06/30/2012"
"SCOTT & WHITE MEMORIAL HOSPITAL","450054","TX","READM-30-PN-HRRP","700","","1.0329","20.0","19.4","142","07/01/2009","06/30/2012"
"ROLLING PLAINS MEMORIAL HOSPITAL","450055","TX","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"ROLLING PLAINS MEMORIAL HOSPITAL","450055","TX","READM-30-HF-HRRP","89","","0.9745","20.7","21.2","17","07/01/2009","06/30/2012"
"ROLLING PLAINS MEMORIAL HOSPITAL","450055","TX","READM-30-PN-HRRP","188","","0.9839","17.0","17.2","31","07/01/2009","06/30/2012"
"SETON MEDICAL CENTER AUSTIN","450056","TX","READM-30-AMI-HRRP","251","","1.0564","17.3","16.4","46","07/01/2009","06/30/2012"
"SETON MEDICAL CENTER AUSTIN","450056","TX","READM-30-HF-HRRP","814","","0.9842","22.1","22.5","179","07/01/2009","06/30/2012"
"SETON MEDICAL CENTER AUSTIN","450056","TX","READM-30-PN-HRRP","604","","1.0066","16.5","16.4","100","07/01/2009","06/30/2012"
"BAPTIST MEDICAL CENTER","450058","TX","READM-30-AMI-HRRP","803","","0.9199","17.6","19.1","137","07/01/2009","06/30/2012"
