"State","HCAHPS Question","HCAHPS Answer Description","HCAHPS Answer Percent"
"WV","How often was the area around patients&#39; rooms kept quiet at night?","Sometimes or never quiet at night",15
"WV","How often was the area around patients&#39; rooms kept quiet at night?","Usually quiet at night",34
"WV","How often were the patients&#39; rooms and bathrooms kept clean?","Room was always clean",71
"WV","How often were the patients&#39; rooms and bathrooms kept clean?","Room was sometimes or never clean",9
"WV","How often were the patients&#39; rooms and bathrooms kept clean?","Room was usually clean",20
"WV","Were patients given information about what to do during their recovery at home?","No, staff did not give patients this information",21
"WV","Were patients given information about what to do during their recovery at home?","Yes, staff did give patients this information",79
"WV","Would patients recommend the hospital to friends and family?","NO, patients would not recommend the hospital (they probably would not or definitely would not recommend it)",6
"WV","Would patients recommend the hospital to friends and family?","YES, patients would definitely recommend the hospital",64
"WV","Would patients recommend the hospital to friends and family?","YES, patients would probably recommend the hospital",30
"WY","How do patients rate the hospital overall?","Patients who gave a rating of 6 or lower (low)",11
"WY","How do patients rate the hospital overall?","Patients who gave a rating of 7 or 8 (medium)",29
"WY","How do patients rate the hospital overall?","Patients who gave a rating of 9 or 10 (high)",60
"WY","How often did doctors communicate well with patients?","Doctors always communicated well",81
"WY","How often did doctors communicate well with patients?","Doctors sometimes or never communicated well",4
"WY","How often did doctors communicate well with patients?","Doctors usually communicated well",15
"WY","How often did nurses communicate well with patients?","Nurses always communicated well",74
"WY","How often did nurses communicate well with patients?","Nurses sometimes or never communicated well",4
"WY","How often did nurses communicate well with patients?","Nurses usually communicated well",22
"WY","How often did patients receive help quickly from hospital staff?","Patients always received help as soon as they wanted",69
"WY","How often did patients receive help quickly from hospital staff?","Patients sometimes or never received help as soon as they wanted",7
"WY","How often did patients receive help quickly from hospital staff?","Patients usually received help as soon as they wanted",24
"WY","How often did staff explain about medicines before giving them to patients?","Staff always explained",62
"WY","How often did staff explain about medicines before giving them to patients?","Staff sometimes or never explained",19
"WY","How often did staff explain about medicines before giving them to patients?","Staff usually explained",19
"WY","How often was patients&#39; pain well controlled?","Pain was always well controlled",70
"WY","How often was patients&#39; pain well controlled?","Pain was sometimes or never well controlled",6
"WY","How often was patients&#39; pain well controlled?","Pain was usually well controlled",24
"WY","How often was the area around patients&#39; rooms kept quiet at night?","Always quiet at night",59
"WY","How often was the area around patients&#39; rooms kept quiet at night?","Sometimes or never quiet at night",9
